City,Center Name,Mobile Number,Alternative Mobile No.,Email,address,google_link,gst_no,status
Pune,Kalyani Nagar,9146921328,9146769027,kn.pune@vibes.co.in,"Shop No. 1 &2, Ground Floor, Hermes Waves, Kalyani Nagar, Pune-411006
",https://goo.gl/maps/9iQ559TbBsZbDgq87,"27AACCV9949A1Z3
",Yes
Agra,Surya Nagar,7078690085,7078690085,agra@vibes.co.in,"GF-5, Vimal Plaza, 62, Surya Nagar, 
Opp. Gate No. 4, Diwani
Agra, Uttar Pradesh - 282002
",https://goo.gl/maps/XbPeAvCf5TzrkX8Y8,09CRVPS7676A1ZX,No
Bangalore,Koramangla,9663882388,9663882388,koramangla.blr@vibes.co.in,"First Floor, Building No. 4. 100 Feet Road, 
5th Block, Koramangala Extension, 
Bangalore- 560080  ",https://g.page/vibes---koramangla---bengaluru,"29AACCV9949A1ZZ
",Yes
Bangalore,Sadashiv Nagar,9538319040,9538319040,sadashivnagar.blr@vibes.co.in,"17, 2nd Main Rd, Vyalikaval, Sadashiva Nagar, Guttahalli, Bengaluru, Karnataka 560003",https://maps.app.goo.gl/xmJkKwR6wzauTLqv7,"29AACCV9949A1ZZ
",Yes
Bangalore,Jaya Nagar,9108686354,9108686354,jyn.blr@vibes.co.in,"#No 93/12, Shreyas Point, South End Road, opp. Surana College, Basavanagudi, Bangalore-560004                                                                                                                                                  
",https://goo.gl/maps/d9RfKMEQsNYJ33HNA,"29AACCV9949A1ZZ
",Yes
Bangalore,JP Nagar,9663453044,8800254619,jpnagar.blr@vibes.co.in,"253, Ground Floor, 24th Main, 16th Cross, 5th Phase, J.P.Nagar, Bangalore-560078
",https://goo.gl/maps/iC6DhmEHPyN2SBA96,"29AACCV9949A1ZZ
",Yes
Bangalore,Indira Nagar,8826668149,9394345441,idn.blr@vibes.co.in,"133, 100 Feet Rd, opposite Royal Enfield, HAL 2nd Stage, Indiranagar, Bengaluru, Karnataka 560038
",https://goo.gl/maps/DqbjQNGDPMMoHt5U6,"29AACCV9949A1ZZ
",Yes
Dhaka,Gulshan,1944265874,1901376463,gulshan.dhaka@vibes.co.in,"Pink City-(Level 5), House 15, Road No-103, Room No-5.6, Gulshan-2, Dhaka-1212   
",https://goo.gl/maps/XQLJArgXa2AenCxa9,18529220101,Yes
Bhubaneswar,Nayapalli,7873980994,7873980994,bb.orissa@vibes.co.in,"Plot No-647, 3rd Floor, Gulab Resorts, Near Kalinga Stadium, Nayapalli, Bhubaneswar-751015
",https://goo.gl/maps/RaLhRGt2zQrmLLLXA,"21AACCV9949A1ZF
",Yes
Delhi / NCR,Green Park,9711156206,9711156206,greenpark.del@vibes.co.in,"C-1, Green Park Extn.,Main Road, Opp IOC Building, Adjacent to the Gurudwara, New Delhi-110016
",https://goo.gl/maps/ba8wz7zvzLUVNNJ18,"07AACCV9949A1Z5
",Yes
Delhi / NCR,Pitampura,8800615228,8800615228,pitampura.del@vibes.co.in,"GD-23, 1st Floor, Near Pitampura Metro Station, Pitampura, New Delhi-110088
",https://goo.gl/maps/11JLjAuo3E3ZF5qq5,"07AACCV9949A1Z5
",Yes
